respondent_ID,year,age,race,sex,educ,degree,padeg,madeg,vetyears,dwelling,dwelown,relig,famgen,zodiac,wrkslf,wrkgovt,marital,sibs,childs,agekdbrn,res16,reg16,parborn,partyid,vote12,pres12,wordsum,voted_16,party_id3
471,2018,66,white,female,18,graduate,bachelor,high school,none,detached 1-fam house,own or is buying,protestant,1 gen,aries,someone else,government,divorced,1,3,29,big-city suburb,pacific,both in u.s,strong democrat,voted,obama,10,voted,democrat
2041,2018,71,white,male,19,graduate,high school,high school,2 to 4  years,trailer,own or is buying,catholic,1 gen,leo,self-employed,private,married,2,1,24,town lt 50000,pacific,both in u.s,strong republican,voted,romney,8,voted,republican
464,2018,32,white,male,16,bachelor,NA,high school,none,detached 1-fam house,pays rent,none,"2 gens, children",leo,someone else,private,never married,7,1,28,big-city suburb,pacific,both in u.s,"ind,near dem",voted,obama,5,voted,independent
1243,2018,27,white,female,16,bachelor,bachelor,bachelor,none,apartment-4 stories,NA,none,1 gen,leo,someone else,private,never married,1,0,NA,town lt 50000,e. sou. central,both in u.s,not str republican,did not vote,NA,NA,did not vote,republican
223,2018,51,white,male,12,high school,lt high school,lt high school,none,detached 1-fam house,own or is buying,protestant,"2 gens, children",cancer,someone else,private,married,7,3,20,city gt 250000,foreign,neither in u.s,not str democrat,ineligible,NA,5,did not vote,democrat
149,2018,28,white,male,14,high school,NA,high school,none,2 units side by side,pays rent,none,"2 gens, children",leo,self-employed,private,never married,3,0,NA,50000 to 250000,pacific,neither in u.s,independent,did not vote,NA,6,did not vote,independent
2203,2018,82,white,male,12,high school,lt high school,lt high school,2 to 4  years,detached 1-fam house,own or is buying,protestant,1 gen,sagittarius,someone else,private,married,6,3,27,town lt 50000,e. nor. central,both in u.s,strong democrat,voted,obama,5,voted,democrat
115,2018,70,white,male,16,bachelor,high school,bachelor,less than 2 yrs,detached 1-fam house,own or is buying,protestant,1 gen,scorpio,someone else,private,married,1,3,31,town lt 50000,new england,both in u.s,not str democrat,voted,obama,10,voted,democrat
159,2018,48,other,female,7,lt high school,lt high school,lt high school,none,detached 1-fam house,pays rent,catholic,"2 gens, children",pisces,someone else,private,married,8,5,17,city gt 250000,foreign,neither in u.s,"ind,near dem",did not vote,NA,7,did not vote,independent
2183,2018,52,white,male,12,high school,high school,high school,2 to 4  years,detached 1-fam house,own or is buying,protestant,"2 gens, children",scorpio,self-employed,private,married,4,3,22,farm,w. nor. central,both in u.s,strong republican,voted,obama,4,voted,republican
514,2018,54,white,male,17,bachelor,junior college,high school,none,detached 1-fam house,own or is buying,jewish,1 gen,libra,someone else,private,married,2,2,28,big-city suburb,w. sou. central,both in u.s,independent,voted,obama,9,voted,independent
1152,2018,86,white,male,13,high school,high school,high school,2 to 4  years,detached 1-fam house,NA,none,"2 gens, children",aquarius,self-employed,government,widowed,2,1,30,50000 to 250000,w. nor. central,both in u.s,"ind,near dem",voted,obama,NA,did not vote,independent
1995,2018,51,white,male,8,lt high school,NA,NA,none,detached 1-fam house,pays rent,protestant,1 gen,gemini,someone else,private,divorced,3,2,31,town lt 50000,pacific,both in u.s,independent,did not vote,NA,5,did not vote,independent
2149,2018,19,white,male,11,lt high school,high school,high school,none,detached 1-fam house,own or is buying,protestant,"3 gens, grandchldrn",virgo,NA,NA,never married,2,0,NA,farm,w. sou. central,both in u.s,strong republican,ineligible,NA,4,did not vote,republican
2051,2018,44,white,male,12,high school,graduate,high school,none,detached 1-fam house,NA,protestant,1 gen,leo,someone else,private,married,3,0,NA,big-city suburb,pacific,both in u.s,other party,voted,other candidate (specify),NA,voted,other party
617,2018,24,other,female,14,high school,lt high school,high school,none,apartment house,NA,none,"2 gens, children",aries,NA,NA,never married,0,0,NA,city gt 250000,foreign,neither in u.s,independent,did not vote,NA,NA,did not vote,independent
1245,2018,44,white,female,12,high school,high school,high school,none,detached 1-fam house,own or is buying,catholic,"2 gens, grandchldrn",aries,someone else,private,divorced,2,2,24,town lt 50000,new england,both in u.s,independent,voted,obama,5,voted,independent
1458,2018,48,black,female,13,high school,NA,lt high school,none,row house,NA,protestant,"2 gens, children",leo,someone else,private,never married,8,1,27,town lt 50000,south atlantic,both in u.s,"ind,near dem",voted,NA,NA,voted,independent
2130,2018,40,white,male,7,lt high school,high school,lt high school,none,detached 1-fam house,own or is buying,protestant,1 gen,cancer,someone else,private,married,8,2,19,"country,nonfarm",foreign,neither in u.s,not str democrat,did not vote,NA,4,did not vote,democrat
2031,2018,28,white,female,15,junior college,high school,junior college,none,detached 1-fam house,own or is buying,other,1 gen,cancer,someone else,private,married,1,0,NA,big-city suburb,pacific,both in u.s,"ind,near dem",voted,obama,7,did not vote,independent
1438,2018,29,black,female,17,bachelor,bachelor,bachelor,none,apartment house,pays rent,protestant,"2 gens, children",libra,someone else,government,never married,4,3,19,big-city suburb,south atlantic,both in u.s,"ind,near dem",voted,obama,4,voted,independent
729,2018,59,black,male,12,high school,high school,high school,none,row house,NA,none,1 gen,sagittarius,someone else,private,divorced,2,3,16,city gt 250000,e. nor. central,both in u.s,"ind,near dem",voted,obama,NA,voted,independent
1296,2018,41,white,male,9,high school,NA,high school,none,2 units-one above,pays rent,none,1 gen,aquarius,someone else,private,never married,4,3,22,city gt 250000,middle atlantic,both in u.s,independent,did not vote,NA,5,did not vote,independent
1524,2018,58,white,male,11,lt high school,lt high school,high school,none,detached 1-fam house,NA,protestant,1 gen,aries,someone else,private,married,2,3,16,town lt 50000,e. sou. central,both in u.s,strong republican,voted,romney,NA,voted,republican
321,2018,78,white,female,14,high school,NA,high school,none,detached 1-fam house,NA,catholic,1 gen,libra,someone else,private,married,1,3,23,big-city suburb,e. nor. central,both in u.s,strong republican,voted,romney,NA,voted,republican
303,2018,37,white,male,12,high school,high school,high school,none,detached 1-fam house,own or is buying,protestant,"2 gens, children",sagittarius,someone else,private,married,1,2,33,"country,nonfarm",south atlantic,both in u.s,not str democrat,voted,obama,5,voted,democrat
255,2018,88,black,male,10,lt high school,NA,lt high school,none,apartment-4 stories,pays rent,protestant,1 gen,sagittarius,someone else,private,divorced,1,6,24,city gt 250000,e. nor. central,both in u.s,not str democrat,voted,obama,5,did not vote,democrat
894,2018,21,black,male,15,high school,NA,junior college,none,apartment-4 stories,NA,protestant,"2 gens, children",leo,someone else,private,never married,4,0,NA,50000 to 250000,e. nor. central,both in u.s,"ind,near dem",ineligible,NA,NA,voted,independent
2314,2018,54,white,female,12,high school,lt high school,high school,none,detached 1-fam house,NA,protestant,1 gen,libra,someone else,private,divorced,2,0,NA,town lt 50000,south atlantic,both in u.s,"ind,near rep",did not vote,NA,NA,voted,independent
