respondent_ID,year,age,race,sex,educ,degree,padeg,madeg,vetyears,dwelling,dwelown,relig,famgen,zodiac,wrkslf,wrkgovt,marital,sibs,childs,agekdbrn,res16,reg16,parborn,partyid,vote12,pres12,wordsum,voted_16,party_id3
639,2018,42,black,female,13,high school,NA,high school,none,detached 1-fam house,pays rent,protestant,1 gen,cancer,someone else,private,never married,7,1,21,50000 to 250000,south atlantic,both in u.s,strong democrat,voted,obama,6,voted,democrat
999,2018,23,white,female,13,high school,bachelor,bachelor,none,apartment house,NA,none,1 gen,cancer,someone else,private,never married,4,0,NA,big-city suburb,pacific,both in u.s,"ind,near dem",ineligible,NA,NA,did not vote,independent
220,2018,33,white,female,12,high school,lt high school,lt high school,none,detached 1-fam house,NA,protestant,"2 gens, children",virgo,someone else,private,married,3,1,32,50000 to 250000,pacific,neither in u.s,independent,did not vote,NA,NA,did not vote,independent
349,2018,53,black,female,12,high school,NA,junior college,more than 4 yrs,apartment-4 stories,pays rent,protestant,1 gen,taurus,someone else,private,never married,3,0,NA,50000 to 250000,south atlantic,both in u.s,not str democrat,did not vote,NA,6,did not vote,democrat
1827,2018,45,white,female,16,graduate,high school,graduate,none,detached 1-fam house,own or is buying,protestant,1 gen,virgo,someone else,private,married,2,2,21,"country,nonfarm",w. nor. central,both in u.s,"ind,near rep",voted,obama,7,voted,independent
720,2018,46,white,male,18,graduate,bachelor,bachelor,none,detached 1-fam house,own or is buying,protestant,1 gen,sagittarius,someone else,government,married,2,2,32,town lt 50000,e. nor. central,both in u.s,not str democrat,voted,obama,6,voted,democrat
1457,2018,65,white,male,11,high school,NA,NA,none,trailer,other,protestant,1 gen,cancer,someone else,private,married,6,3,23,city gt 250000,w. sou. central,both in u.s,"ind,near rep",voted,romney,6,voted,independent
1203,2018,73,white,female,16,bachelor,high school,bachelor,none,detached 1-fam house,NA,protestant,1 gen,libra,someone else,government,married,3,4,24,town lt 50000,mountain,both in u.s,independent,voted,romney,NA,voted,independent
173,2018,60,white,female,13,high school,lt high school,junior college,less than 2 yrs,apartment house,NA,protestant,1 gen,leo,someone else,private,divorced,1,0,NA,50000 to 250000,pacific,father only,strong republican,voted,romney,NA,voted,republican
274,2018,65,white,female,19,graduate,bachelor,high school,none,detached 1-fam house,own or is buying,protestant,1 gen,taurus,someone else,government,divorced,3,3,31,town lt 50000,e. nor. central,both in u.s,strong democrat,voted,obama,10,voted,democrat
674,2018,21,white,female,15,high school,high school,high school,none,detached 1-fam house,pays rent,none,1 gen,capricorn,someone else,private,never married,1,0,NA,town lt 50000,south atlantic,both in u.s,not str democrat,ineligible,NA,5,did not vote,democrat
1393,2018,68,white,male,11,lt high school,lt high school,high school,none,detached 1-fam house,NA,protestant,1 gen,sagittarius,someone else,private,married,4,2,22,farm,south atlantic,both in u.s,independent,voted,obama,NA,voted,independent
1626,2018,32,white,female,15,high school,high school,bachelor,none,trailer,pays rent,protestant,"2 gens, children",scorpio,someone else,private,never married,8,4,20,farm,e. nor. central,both in u.s,"ind,near dem",voted,romney,5,voted,independent
1872,2018,84,white,male,16,bachelor,high school,bachelor,none,detached 1-fam house,NA,protestant,1 gen,sagittarius,someone else,private,married,2,3,25,town lt 50000,w. nor. central,both in u.s,"ind,near rep",voted,romney,NA,voted,independent
1770,2018,20,white,male,13,high school,high school,high school,none,detached 1-fam house,own or is buying,none,1 gen,scorpio,someone else,private,never married,5,0,NA,50000 to 250000,e. nor. central,both in u.s,not str democrat,ineligible,NA,6,did not vote,democrat
1662,2018,77,white,female,12,high school,lt high school,lt high school,none,detached 1-fam house,pays rent,protestant,1 gen,virgo,someone else,private,divorced,2,2,20,"country,nonfarm",south atlantic,both in u.s,"ind,near dem",voted,romney,10,voted,independent
1842,2018,72,white,female,16,bachelor,lt high school,junior college,none,detached 1-fam house,own or is buying,protestant,1 gen,virgo,someone else,private,divorced,1,3,32,city gt 250000,south atlantic,both in u.s,strong democrat,voted,obama,9,voted,democrat
1982,2018,56,white,male,13,high school,lt high school,NA,more than 4 yrs,apartment house,pays rent,protestant,1 gen,taurus,someone else,private,separated,11,4,17,city gt 250000,pacific,mother only,strong democrat,voted,obama,2,voted,democrat
1185,2018,49,white,female,16,bachelor,high school,bachelor,none,detached 1-fam house,own or is buying,catholic,"2 gens, children",virgo,someone else,private,married,1,2,29,50000 to 250000,e. nor. central,both in u.s,not str republican,voted,romney,7,did not vote,republican
1961,2018,69,other,female,14,high school,lt high school,high school,none,trailer,NA,protestant,1 gen,pisces,someone else,NA,divorced,4,4,21,50000 to 250000,mountain,both in u.s,not str republican,voted,romney,NA,voted,republican
682,2018,71,black,female,15,bachelor,high school,bachelor,none,detached 1-fam house,own or is buying,protestant,1 gen,taurus,someone else,government,married,1,0,NA,50000 to 250000,e. sou. central,both in u.s,strong democrat,voted,obama,6,voted,democrat
1328,2018,36,white,female,12,high school,high school,high school,none,detached 1-fam house,NA,catholic,"2 gens, children",gemini,someone else,government,married,0,2,24,city gt 250000,south atlantic,both in u.s,not str democrat,did not vote,NA,NA,voted,democrat
286,2018,67,white,female,12,high school,high school,high school,none,apartment house,own or is buying,catholic,"2 gens, grandchldrn",capricorn,someone else,private,married,4,2,21,big-city suburb,e. nor. central,both in u.s,not str democrat,voted,obama,5,voted,democrat
1761,2018,47,white,female,16,bachelor,high school,bachelor,none,detached 1-fam house,own or is buying,protestant,"2 gens, children",aquarius,someone else,government,married,2,3,24,town lt 50000,e. nor. central,both in u.s,not str democrat,voted,obama,8,voted,democrat
281,2018,52,white,female,12,high school,junior college,high school,none,2 units side by side,own or is buying,protestant,1 gen,pisces,someone else,private,divorced,1,1,28,50000 to 250000,e. nor. central,both in u.s,not str republican,voted,romney,6,voted,republican
811,2018,32,white,male,16,bachelor,graduate,bachelor,none,apartment house,NA,none,1 gen,capricorn,someone else,government,never married,2,0,NA,big-city suburb,mountain,neither in u.s,"ind,near dem",voted,obama,NA,voted,independent
2167,2018,25,black,male,14,high school,bachelor,bachelor,none,trailer,pays rent,protestant,"2 gens, children",sagittarius,someone else,private,never married,7,1,22,town lt 50000,w. nor. central,both in u.s,not str democrat,voted,obama,6,did not vote,democrat
1342,2018,64,white,male,6,lt high school,lt high school,lt high school,none,trailer,other,none,"2 gens, parents",libra,someone else,private,never married,3,1,24,farm,south atlantic,both in u.s,independent,did not vote,NA,5,did not vote,independent
1168,2018,63,white,male,12,high school,high school,high school,none,detached 1-fam house,own or is buying,catholic,1 gen,pisces,someone else,private,married,3,1,32,city gt 250000,mountain,both in u.s,not str democrat,voted,obama,8,voted,democrat
1565,2018,27,black,female,14,high school,high school,high school,none,apartment house,pays rent,protestant,1 gen,leo,someone else,private,married,1,2,21,town lt 50000,e. sou. central,both in u.s,not str democrat,did not vote,NA,4,voted,democrat
2027,2018,44,white,male,20,graduate,bachelor,high school,none,detached 1-fam house,NA,protestant,1 gen,pisces,someone else,private,never married,1,0,NA,big-city suburb,south atlantic,both in u.s,strong democrat,voted,other candidate (specify),NA,voted,democrat
793,2018,28,white,female,12,high school,high school,graduate,none,detached 1-fam house,pays rent,none,"2 gens, children",sagittarius,someone else,private,never married,3,3,20,city gt 250000,mountain,both in u.s,not str republican,did not vote,NA,5,did not vote,republican
2235,2018,56,white,female,11,lt high school,NA,NA,none,detached 1-fam house,NA,protestant,1 gen,leo,someone else,private,married,3,3,17,farm,south atlantic,both in u.s,independent,did not vote,NA,NA,did not vote,independent
1739,2018,24,white,male,17,bachelor,high school,high school,none,apartment house,NA,protestant,1 gen,virgo,someone else,government,never married,6,0,NA,50000 to 250000,e. nor. central,both in u.s,"ind,near dem",ineligible,NA,NA,did not vote,independent
1069,2018,53,other,female,13,high school,lt high school,high school,more than 4 yrs,detached 1-fam house,own or is buying,protestant,1 gen,gemini,someone else,private,widowed,4,3,21,"country,nonfarm",e. nor. central,father only,not str republican,voted,romney,7,voted,republican
2085,2018,75,white,female,12,high school,lt high school,lt high school,none,detached 1-fam house,own or is buying,protestant,1 gen,pisces,someone else,private,married,0,3,24,50000 to 250000,w. nor. central,both in u.s,not str republican,voted,romney,7,voted,republican
171,2018,19,white,male,12,high school,high school,NA,none,row house,NA,none,"2 gens, children",libra,someone else,private,never married,0,0,NA,50000 to 250000,pacific,father only,"ind,near rep",ineligible,NA,NA,did not vote,independent
1840,2018,85,white,male,16,bachelor,lt high school,high school,less than 2 yrs,trailer,own or is buying,catholic,1 gen,gemini,someone else,private,divorced,0,3,22,farm,w. sou. central,both in u.s,not str republican,voted,NA,8,voted,republican
1145,2018,28,other,male,19,graduate,bachelor,junior college,none,apartment house,pays rent,hinduism,1 gen,leo,someone else,private,never married,1,0,NA,50000 to 250000,foreign,neither in u.s,"ind,near dem",ineligible,NA,9,did not vote,independent
1465,2018,59,white,female,12,high school,high school,high school,none,detached 1-fam house,own or is buying,protestant,"2 gens, children",leo,someone else,private,married,1,4,27,city gt 250000,south atlantic,both in u.s,strong republican,voted,romney,8,voted,republican
2158,2018,49,white,male,12,high school,high school,high school,none,trailer,NA,protestant,1 gen,sagittarius,someone else,private,never married,5,0,NA,town lt 50000,w. nor. central,both in u.s,independent,voted,romney,NA,voted,independent
695,2018,46,white,male,12,high school,NA,bachelor,2 to 4  years,apartment-4 stories,pays rent,catholic,"2 gens, children",cancer,someone else,private,married,2,1,30,town lt 50000,foreign,neither in u.s,"ind,near rep",ineligible,NA,9,did not vote,independent
1417,2018,49,black,male,14,high school,high school,high school,none,detached 1-fam house,own or is buying,protestant,"2 gens, children",scorpio,someone else,government,married,2,0,NA,50000 to 250000,w. nor. central,both in u.s,not str democrat,voted,obama,5,voted,democrat
986,2018,50,white,female,20,graduate,high school,bachelor,none,detached 1-fam house,own or is buying,jewish,1 gen,gemini,someone else,private,never married,1,0,NA,big-city suburb,middle atlantic,both in u.s,not str republican,voted,romney,10,voted,republican
446,2018,22,other,male,12,high school,bachelor,high school,none,detached 1-fam house,pays rent,protestant,"2 gens, children",scorpio,someone else,private,never married,2,0,NA,50000 to 250000,pacific,neither in u.s,"ind,near rep",ineligible,NA,2,voted,independent
1636,2018,66,white,female,14,high school,high school,high school,none,2 units side by side,NA,catholic,1 gen,pisces,someone else,government,divorced,1,3,18,town lt 50000,south atlantic,both in u.s,not str republican,voted,romney,NA,voted,republican
291,2018,59,white,male,17,bachelor,high school,high school,none,detached 1-fam house,NA,protestant,1 gen,sagittarius,someone else,private,divorced,2,1,34,town lt 50000,e. nor. central,both in u.s,not str republican,voted,romney,NA,voted,republican
1198,2018,46,white,female,12,high school,NA,lt high school,none,detached 1-fam house,own or is buying,orthodox-christian,"2 gens, children",pisces,someone else,private,married,2,2,25,city gt 250000,e. nor. central,father only,strong republican,NA,NA,6,voted,republican
568,2018,66,white,male,20,graduate,high school,high school,none,detached 1-fam house,own or is buying,none,1 gen,capricorn,someone else,private,divorced,3,2,34,town lt 50000,middle atlantic,both in u.s,strong democrat,voted,obama,8,voted,democrat
847,2018,25,other,male,12,high school,high school,bachelor,none,row house,NA,other,"2 gens, children",gemini,someone else,private,married,2,3,18,big-city suburb,south atlantic,both in u.s,independent,did not vote,NA,NA,did not vote,independent
1543,2018,64,other,male,20,graduate,lt high school,lt high school,2 to 4  years,detached 1-fam house,NA,protestant,1 gen,leo,someone else,government,married,4,2,27,50000 to 250000,south atlantic,both in u.s,not str democrat,voted,other candidate (specify),NA,voted,democrat
2025,2018,44,white,male,20,graduate,graduate,junior college,more than 4 yrs,detached 1-fam house,NA,catholic,"2 gens, children",aries,someone else,government,married,0,2,30,50000 to 250000,pacific,both in u.s,strong republican,voted,romney,NA,voted,republican
1639,2018,53,white,female,13,high school,NA,NA,none,detached 1-fam house,other,protestant,1 gen,sagittarius,someone else,private,widowed,3,2,20,farm,south atlantic,both in u.s,not str democrat,voted,romney,5,voted,democrat
1684,2018,65,white,female,12,high school,lt high school,high school,none,detached 1-fam house,NA,protestant,"3 gens, grandchldrn",capricorn,someone else,private,married,11,4,18,town lt 50000,e. sou. central,both in u.s,strong republican,voted,NA,NA,voted,republican
48,2018,53,white,female,18,graduate,NA,junior college,none,detached 1-fam house,own or is buying,catholic,"2 gens, children",scorpio,someone else,private,married,1,3,33,city gt 250000,middle atlantic,neither in u.s,not str democrat,voted,obama,6,voted,democrat
1887,2018,25,white,female,12,high school,high school,NA,none,3-4 fam house,NA,protestant,"2 gens, children",leo,NA,NA,married,6,2,19,town lt 50000,mountain,both in u.s,strong republican,did not vote,NA,NA,voted,republican
1791,2018,47,white,female,20,graduate,graduate,high school,none,detached 1-fam house,NA,protestant,"2 gens, children",pisces,someone else,private,married,7,4,22,city gt 250000,w. nor. central,both in u.s,"ind,near dem",voted,romney,NA,did not vote,independent
1256,2018,47,white,male,12,high school,lt high school,lt high school,none,detached 1-fam house,own or is buying,none,"2 gens, children",cancer,someone else,private,married,7,3,19,town lt 50000,foreign,neither in u.s,strong republican,did not vote,NA,9,did not vote,republican
947,2018,46,white,female,18,graduate,NA,high school,none,detached 1-fam house,own or is buying,protestant,"2 gens, children",cancer,someone else,government,married,3,2,32,city gt 250000,south atlantic,both in u.s,not str republican,voted,romney,8,voted,republican
1374,2018,31,white,female,12,high school,high school,high school,none,detached 1-fam house,own or is buying,protestant,"2 gens, children",virgo,someone else,private,married,0,1,26,farm,south atlantic,both in u.s,not str republican,did not vote,NA,6,voted,republican
855,2018,57,white,male,14,high school,NA,NA,none,apartment-4 stories,own or is buying,none,1 gen,scorpio,someone else,private,never married,2,0,NA,city gt 250000,pacific,neither in u.s,strong democrat,voted,obama,8,voted,democrat
810,2018,60,white,male,13,high school,high school,high school,none,apartment house,pays rent,none,1 gen,sagittarius,someone else,private,never married,3,0,NA,big-city suburb,pacific,both in u.s,other party,voted,obama,9,voted,other party
427,2018,51,white,female,18,graduate,graduate,bachelor,none,detached 1-fam house,own or is buying,protestant,"2 gens, children",leo,self-employed,private,married,1,2,28,town lt 50000,w. sou. central,both in u.s,not str republican,voted,romney,7,voted,republican
1471,2018,71,white,female,17,bachelor,NA,lt high school,none,detached 1-fam house,own or is buying,buddhism,1 gen,leo,self-employed,private,widowed,1,0,NA,farm,w. nor. central,both in u.s,not str republican,voted,romney,7,voted,republican
963,2018,36,black,male,16,high school,NA,high school,none,apartment house,pays rent,protestant,"2 gens, children",pisces,someone else,private,married,1,3,22,50000 to 250000,south atlantic,both in u.s,not str democrat,did not vote,NA,6,did not vote,democrat
1514,2018,58,white,female,14,junior college,graduate,high school,none,detached 1-fam house,own or is buying,catholic,"2 gens, children",gemini,self-employed,private,married,3,2,34,town lt 50000,middle atlantic,both in u.s,independent,did not vote,NA,7,did not vote,independent
991,2018,38,other,female,12,high school,graduate,NA,none,detached 1-fam house,pays rent,moslem/islam,1 gen,taurus,NA,NA,married,5,2,22,50000 to 250000,foreign,neither in u.s,independent,did not vote,NA,0,did not vote,independent
1357,2018,21,white,male,14,high school,high school,high school,none,apartment house,NA,none,1 gen,libra,NA,NA,never married,1,0,NA,town lt 50000,south atlantic,both in u.s,strong democrat,ineligible,NA,NA,voted,democrat
2340,2018,29,white,female,14,high school,high school,bachelor,none,detached 1-fam house,own or is buying,other,1 gen,virgo,someone else,private,married,1,0,NA,farm,new england,mother only,independent,did not vote,NA,7,did not vote,independent
982,2018,43,white,female,16,bachelor,high school,high school,none,detached 1-fam house,own or is buying,catholic,"2 gens, children",aquarius,someone else,government,married,1,2,25,big-city suburb,south atlantic,both in u.s,not str democrat,voted,obama,10,voted,democrat
554,2018,21,other,female,12,high school,lt high school,high school,none,detached 1-fam house,NA,protestant,"2 gens, children",libra,someone else,private,never married,3,0,NA,town lt 50000,middle atlantic,neither in u.s,not str democrat,ineligible,NA,NA,voted,democrat
1509,2018,45,white,female,17,junior college,NA,high school,none,detached 1-fam house,pays rent,protestant,1 gen,aquarius,self-employed,private,divorced,3,4,21,50000 to 250000,new england,both in u.s,independent,did not vote,NA,6,voted,independent
259,2018,81,white,male,16,bachelor,lt high school,lt high school,none,detached 1-fam house,own or is buying,catholic,"2 gens, children",cancer,self-employed,private,widowed,3,7,25,city gt 250000,e. nor. central,neither in u.s,"ind,near rep",voted,obama,8,voted,independent
1096,2018,47,white,male,17,bachelor,graduate,bachelor,less than 2 yrs,detached 1-fam house,NA,none,"2 gens, children",leo,self-employed,private,divorced,2,2,25,town lt 50000,e. nor. central,both in u.s,"ind,near dem",voted,obama,NA,voted,independent
328,2018,70,other,female,14,high school,NA,lt high school,more than 4 yrs,apartment-4 stories,NA,protestant,1 gen,libra,someone else,government,widowed,6,0,NA,50000 to 250000,south atlantic,both in u.s,strong democrat,voted,obama,NA,voted,democrat
888,2018,84,white,female,12,high school,lt high school,lt high school,none,detached 1-fam house,own or is buying,protestant,1 gen,cancer,someone else,private,widowed,5,2,NA,farm,south atlantic,both in u.s,independent,voted,obama,5,did not vote,independent
754,2018,23,other,male,12,high school,high school,lt high school,none,apartment house,NA,protestant,"2 gens, parents",capricorn,someone else,private,never married,1,0,NA,50000 to 250000,pacific,neither in u.s,not str democrat,ineligible,NA,NA,did not vote,democrat
1098,2018,29,white,male,17,bachelor,graduate,graduate,none,detached 1-fam house,pays rent,none,1 gen,pisces,someone else,private,never married,1,0,NA,50000 to 250000,e. nor. central,both in u.s,strong democrat,voted,obama,10,voted,democrat
2146,2018,69,white,male,14,high school,lt high school,NA,none,detached 1-fam house,NA,protestant,1 gen,leo,someone else,government,widowed,8,0,NA,farm,w. sou. central,both in u.s,strong democrat,voted,obama,NA,voted,democrat
1057,2018,21,white,male,9,lt high school,NA,high school,none,2 units-one above,NA,protestant,"2 gens, parents",sagittarius,someone else,private,never married,0,0,NA,farm,e. nor. central,mother; fa. dk,"ind,near rep",ineligible,NA,NA,did not vote,independent
240,2018,28,white,female,13,high school,NA,high school,none,detached 1-fam house,pays rent,none,1 gen,virgo,someone else,private,married,1,0,NA,big-city suburb,pacific,both in u.s,independent,voted,obama,6,voted,independent
204,2018,64,white,female,13,high school,high school,high school,none,detached 1-fam house,own or is buying,protestant,1 gen,pisces,someone else,private,married,3,5,26,50000 to 250000,pacific,both in u.s,"ind,near dem",did not vote,NA,6,did not vote,independent
1787,2018,30,white,female,16,bachelor,junior college,bachelor,none,detached 1-fam house,own or is buying,catholic,"2 gens, children",sagittarius,someone else,private,married,2,2,25,town lt 50000,w. nor. central,both in u.s,"ind,near rep",did not vote,NA,6,voted,independent
1621,2018,44,white,female,16,bachelor,NA,high school,none,detached 1-fam house,own or is buying,catholic,1 gen,gemini,someone else,private,married,10,2,31,50000 to 250000,e. nor. central,both in u.s,not str republican,voted,romney,7,voted,republican
1146,2018,23,black,female,16,bachelor,graduate,high school,none,apartment house,NA,protestant,1 gen,aries,someone else,private,never married,13,0,NA,city gt 250000,middle atlantic,neither in u.s,"ind,near rep",ineligible,NA,NA,did not vote,independent
1841,2018,25,white,male,12,high school,high school,high school,none,row house,pays rent,catholic,1 gen,leo,someone else,private,never married,3,0,NA,big-city suburb,w. sou. central,both in u.s,"ind,near rep",did not vote,NA,7,voted,independent
962,2018,25,white,female,16,bachelor,bachelor,graduate,none,apartment house,NA,protestant,1 gen,aries,someone else,private,never married,1,0,NA,big-city suburb,south atlantic,both in u.s,not str republican,did not vote,NA,NA,did not vote,republican
1915,2018,20,white,male,11,high school,NA,lt high school,none,apartment house,NA,protestant,1 gen,libra,someone else,private,never married,4,0,NA,50000 to 250000,mountain,both in u.s,strong democrat,ineligible,NA,NA,did not vote,democrat
119,2018,48,white,female,13,high school,NA,high school,none,detached 1-fam house,NA,catholic,"2 gens, children",cancer,self-employed,private,married,0,2,40,50000 to 250000,new england,both in u.s,not str republican,did not vote,NA,NA,did not vote,republican
898,2018,53,white,female,12,lt high school,lt high school,lt high school,none,detached 1-fam house,NA,catholic,1 gen,leo,someone else,private,married,1,1,32,big-city suburb,e. nor. central,both in u.s,"ind,near dem",did not vote,NA,NA,voted,independent
592,2018,51,black,male,16,bachelor,bachelor,graduate,none,row house,NA,protestant,1 gen,libra,self-employed,private,never married,2,1,33,city gt 250000,w. sou. central,both in u.s,"ind,near dem",voted,obama,NA,voted,independent
490,2018,31,white,female,14,high school,NA,high school,none,detached 1-fam house,NA,protestant,"3 gens, grandchldrn",aries,someone else,government,never married,1,1,20,big-city suburb,w. sou. central,both in u.s,strong democrat,voted,obama,NA,voted,democrat
456,2018,19,other,male,13,high school,lt high school,high school,none,detached 1-fam house,pays rent,catholic,"2 gens, children",aquarius,NA,NA,never married,1,0,NA,town lt 50000,pacific,neither in u.s,not str democrat,ineligible,NA,7,did not vote,democrat
2086,2018,73,white,female,12,high school,lt high school,lt high school,none,detached 1-fam house,own or is buying,protestant,1 gen,leo,someone else,private,married,5,2,22,town lt 50000,w. sou. central,both in u.s,not str republican,did not vote,NA,8,did not vote,republican
2187,2018,47,white,female,12,high school,high school,high school,none,detached 1-fam house,own or is buying,protestant,1 gen,leo,someone else,private,divorced,2,0,NA,farm,e. nor. central,both in u.s,independent,voted,romney,5,voted,independent
162,2018,18,white,female,12,high school,high school,high school,none,detached 1-fam house,own or is buying,none,"2 gens, children",pisces,NA,NA,never married,2,0,NA,50000 to 250000,pacific,both in u.s,not str democrat,ineligible,NA,5,did not vote,democrat
1853,2018,27,white,male,12,high school,high school,lt high school,none,detached 1-fam house,NA,protestant,"2 gens, grandchldrn",libra,someone else,government,never married,2,1,25,50000 to 250000,w. sou. central,both in u.s,not str republican,did not vote,NA,NA,voted,republican
1618,2018,34,white,male,14,junior college,NA,bachelor,none,apartment house,own or is buying,none,1 gen,aries,someone else,private,never married,6,0,NA,town lt 50000,e. nor. central,both in u.s,"ind,near dem",voted,obama,6,voted,independent
1267,2018,60,white,female,15,junior college,lt high school,junior college,none,apartment-4 stories,pays rent,catholic,1 gen,pisces,someone else,government,divorced,3,4,22,50000 to 250000,new england,both in u.s,independent,did not vote,NA,7,did not vote,independent
71,2018,35,white,male,15,high school,NA,high school,none,apartment-4 stories,pays rent,catholic,1 gen,scorpio,NA,NA,never married,5,0,NA,city gt 250000,middle atlantic,both in u.s,strong democrat,voted,obama,3,voted,democrat
152,2018,77,black,female,13,high school,lt high school,lt high school,none,detached 1-fam house,NA,protestant,1 gen,aries,NA,NA,separated,9,4,16,town lt 50000,w. sou. central,both in u.s,strong democrat,voted,obama,NA,voted,democrat
669,2018,71,white,female,13,high school,NA,lt high school,none,detached 1-fam house,own or is buying,none,1 gen,gemini,someone else,private,married,0,2,21,50000 to 250000,w. sou. central,neither in u.s,strong democrat,voted,obama,7,voted,democrat
644,2018,51,white,male,11,high school,bachelor,lt high school,none,detached 1-fam house,own or is buying,protestant,"2 gens, children",gemini,someone else,government,married,0,1,46,city gt 250000,south atlantic,both in u.s,independent,did not vote,NA,8,did not vote,independent
1381,2018,33,other,male,3,lt high school,lt high school,lt high school,none,trailer,NA,catholic,1 gen,gemini,self-employed,government,married,7,4,19,town lt 50000,foreign,neither in u.s,"ind,near dem",ineligible,NA,NA,did not vote,independent
161,2018,18,other,female,11,lt high school,lt high school,high school,none,row house,NA,none,"2 gens, children",pisces,NA,NA,never married,2,0,NA,big-city suburb,pacific,neither in u.s,strong democrat,ineligible,NA,NA,did not vote,democrat
507,2018,66,white,male,17,graduate,graduate,graduate,none,detached 1-fam house,own or is buying,protestant,"3 gens, grandchldrn",scorpio,someone else,private,married,1,2,40,town lt 50000,w. sou. central,both in u.s,independent,voted,romney,9,voted,independent
2292,2018,41,black,female,10,high school,lt high school,high school,none,2 units side by side,pays rent,protestant,"2 gens, children",sagittarius,someone else,private,never married,3,3,18,town lt 50000,south atlantic,both in u.s,not str democrat,voted,obama,6,voted,democrat
9,2018,62,white,female,8,lt high school,high school,high school,none,2 units side by side,pays rent,none,1 gen,NA,self-employed,private,widowed,4,4,17,50000 to 250000,middle atlantic,both in u.s,independent,voted,obama,6,did not vote,independent
528,2018,76,white,female,13,high school,lt high school,NA,none,trailer,own or is buying,protestant,"2 gens, children",sagittarius,someone else,private,widowed,0,4,19,"country,nonfarm",w. sou. central,both in u.s,not str republican,did not vote,NA,6,voted,republican
193,2018,70,white,male,6,lt high school,lt high school,lt high school,none,trailer,own or is buying,catholic,"2 gens, children",gemini,NA,NA,divorced,5,1,26,town lt 50000,pacific,neither in u.s,"ind,near dem",voted,obama,2,did not vote,independent
1348,2018,57,white,male,10,lt high school,high school,lt high school,none,trailer,own or is buying,christian,"2 gens, children",pisces,someone else,private,divorced,5,2,30,town lt 50000,south atlantic,both in u.s,other party,did not vote,NA,2,did not vote,other party
382,2018,89,white,female,12,high school,lt high school,lt high school,none,2 units-one above,NA,catholic,1 gen,cancer,someone else,NA,widowed,4,5,NA,city gt 250000,new england,both in u.s,not str republican,voted,romney,NA,voted,republican
1023,2018,75,black,female,12,high school,lt high school,lt high school,none,detached 1-fam house,own or is buying,protestant,1 gen,cancer,someone else,private,widowed,7,0,NA,town lt 50000,middle atlantic,both in u.s,strong democrat,voted,obama,3,voted,democrat
1540,2018,39,black,female,10,lt high school,high school,lt high school,none,detached 1-fam house,NA,protestant,"2 gens, children",pisces,someone else,government,never married,2,2,20,"country,nonfarm",e. sou. central,both in u.s,independent,did not vote,NA,NA,did not vote,independent
2081,2018,28,white,female,14,high school,high school,high school,none,trailer,own or is buying,protestant,1 gen,aquarius,someone else,private,married,1,0,NA,50000 to 250000,mountain,both in u.s,independent,voted,romney,7,voted,independent
85,2018,70,white,male,12,high school,NA,lt high school,none,apartment-4 stories,NA,catholic,1 gen,leo,someone else,private,separated,5,4,25,city gt 250000,middle atlantic,neither in u.s,not str republican,voted,obama,NA,voted,republican
865,2018,67,black,male,12,high school,NA,lt high school,none,detached 1-fam house,own or is buying,protestant,"2 gens, children",libra,self-employed,private,married,9,4,18,big-city suburb,foreign,neither in u.s,strong republican,voted,romney,5,voted,republican
1292,2018,30,white,male,12,high school,NA,high school,none,detached 1-fam house,NA,none,1 gen,taurus,someone else,private,never married,3,0,NA,town lt 50000,middle atlantic,both in u.s,"ind,near rep",voted,didn't vote for president,NA,did not vote,independent
2078,2018,27,white,female,12,high school,high school,high school,none,2 units side by side,pays rent,none,"3 gens, grandchldrn",taurus,someone else,NA,married,2,2,19,50000 to 250000,mountain,both in u.s,independent,did not vote,NA,6,did not vote,independent
1742,2018,39,white,female,16,bachelor,high school,bachelor,none,detached 1-fam house,NA,protestant,1 gen,NA,someone else,private,divorced,1,0,NA,town lt 50000,e. nor. central,both in u.s,not str republican,voted,NA,NA,did not vote,republican
1371,2018,60,white,male,12,high school,lt high school,lt high school,none,detached 1-fam house,own or is buying,none,1 gen,sagittarius,someone else,private,married,5,2,31,farm,e. nor. central,both in u.s,not str republican,did not vote,NA,5,did not vote,republican
1908,2018,34,white,female,12,high school,NA,lt high school,none,detached 1-fam house,NA,protestant,"3 gens, grandchldrn",gemini,someone else,private,never married,6,3,17,50000 to 250000,w. sou. central,both in u.s,independent,did not vote,NA,NA,did not vote,independent
1654,2018,42,white,female,14,junior college,high school,high school,none,detached 1-fam house,own or is buying,protestant,"2 gens, children",gemini,someone else,government,married,1,1,25,"country,nonfarm",south atlantic,both in u.s,strong democrat,voted,romney,5,voted,democrat
1506,2018,34,white,female,14,junior college,NA,high school,none,detached 1-fam house,NA,protestant,"2 gens, children",sagittarius,someone else,private,married,7,4,20,50000 to 250000,south atlantic,both in u.s,independent,did not vote,NA,NA,did not vote,independent
566,2018,74,white,female,16,bachelor,graduate,high school,none,detached 1-fam house,NA,protestant,1 gen,scorpio,someone else,government,widowed,2,2,28,big-city suburb,middle atlantic,both in u.s,strong democrat,voted,obama,NA,voted,democrat
1709,2018,28,other,female,19,graduate,high school,high school,none,detached 1-fam house,own or is buying,jewish,1 gen,libra,someone else,government,married,2,0,NA,city gt 250000,pacific,neither in u.s,not str democrat,did not vote,NA,8,voted,democrat
